chr,start,end,gene_id,gene_name
chr1,151772740,151777895,ENSG00000213171.3_7,LINGO4
chr1,151778547,151804321,ENSG00000143365.20_14,RORC
chr1,151810294,151813033,ENSG00000225556.2_7,C2CD4D
chr1,151814212,151814313,ENSG00000201134,Y_RNA
chr1,151814353,151822861,ENSG00000234614.1_7,C2CD4D-AS1
chr1,151819577,151826188,ENSG00000196407.12_7,THEM5
chr1,151843342,151882113,ENSG00000159445.13_7,THEM4
chr1,151857727,151871809,ENSG00000285651.1_4,ENSG00000285651
chr1,151917366,151926461,ENSG00000286581.1_5,ENSG00000286581
chr1,151921999,151923388,ENSG00000223810.2_5,KRT8P28
chr1,151955391,151966335,ENSG00000197747.9_7,S100A10
chr1,151967007,152015250,ENSG00000229021.2_11,ENSG00000229021
chr1,151991138,151994984,ENSG00000240667.1_6,NBPF18P
chr1,152004982,152020383,ENSG00000163191.6_7,S100A11
chr1,152050428,152050687,ENSG00000232678.2_7,SPTLC1P4
chr1,154171561,154178809,ENSG00000163263.7_8,CFAP141
chr1,154179172,154193113,ENSG00000143612.21_7,C1orf43
chr1,154192655,154243986,ENSG00000143569.19_13,UBAP2L
chr1,154226921,154226997,ENSG00000252817,AL590431.1
chr1,154232203,154232338,ENSG00000201129,SNORA58
chr1,154244831,154248351,ENSG00000143575.16_15,HAX1
chr1,154260936,154261003,ENSG00000252682,SNORD59
chr1,154267979,154268077,ENSG00000212292,RNU6-239P
chr1,154270126,154270224,ENSG00000222457,RNU6-121P
chr1,154284938,154285560,ENSG00000278694.1_8,ENSG00000278694
chr1,154293566,154297801,ENSG00000143595.13_7,AQP10
chr1,154298001,154323780,ENSG00000143515.20_10,ATP8B2
chr1,154311219,154311278,ENSG00000238365,RNU7-57P
chr1,154349442,154351749,ENSG00000237920.2_10,ENSG00000237920
chr1,154350683,154351565,ENSG00000226855.1_5,RPSAP17
chr1,154374804,154379040,ENSG00000228013.1_9,IL6R-AS1
chr1,154377669,154441926,ENSG00000160712.13_11,IL6R
chr1,154386845,154387613,ENSG00000228264.1_5,PSMD8P1
chr1,154442248,154474888,ENSG00000169291.10_8,SHE
chr1,154452488,154453977,ENSG00000273110.1_8,ENSG00000273110
chr1,154474695,154520623,ENSG00000163239.12_9,TDRD10
chr1,154521053,154531504,ENSG00000160714.10_7,UBE2Q1
chr1,154526085,154527493,ENSG00000229780.1_7,UBE2Q1-AS1
chr1,154537331,154540225,ENSG00000286391.3_7,ENSG00000286391
chr1,154540254,154552489,ENSG00000160716.6_14,CHRNB2
chr1,154551541,154552139,ENSG00000233875.1_10,ENSG00000233875
chr1,154554171,154600489,ENSG00000160710.18_14,ADAR
chr1,154585067,154585190,ENSG00000268141,AL606500.1
chr1,154644069,154650821,ENSG00000287064.1_3,ENSG00000287064
chr1,154669931,154842757,ENSG00000143603.19_12,KCNN3
chr1,154897216,154909195,ENSG00000163344.6_7,PMVK
chr1,154909846,154910535,ENSG00000270361.1_10,ENSG00000270361
chr1,154916552,154928599,ENSG00000163346.17_12,PBXIP1
chr1,154929502,154936329,ENSG00000163348.4_10,PYGO2
chr1,154934301,154935099,ENSG00000271380.1_10,ENSG00000271380
chr1,154934774,154946871,ENSG00000160691.19_15,SHC1
chr1,154947129,154951727,ENSG00000173207.13_6,CKS1B
chr1,154948169,154948259,ENSG00000264349,MIR4258
chr1,154955814,154965587,ENSG00000160688.19_6,FLAD1
chr1,154966062,154966791,ENSG00000163352.6_6,LENEP
chr1,154973275,154974584,ENSG00000289103.2_2,ENSG00000289103
chr1,154975106,154990999,ENSG00000160685.14_6,ZBTB7B
chr1,154990996,155006257,ENSG00000163354.15_7,DCST2
chr1,155006300,155023406,ENSG00000163357.11_11,DCST1
chr1,155017667,155018594,ENSG00000232093.1_9,DCST1-AS1
chr1,155023042,155035251,ENSG00000143537.14_7,ADAM15
chr1,155036213,155042029,ENSG00000243364.8_12,EFNA4
chr1,155036224,155059283,ENSG00000251246.1_11,ENSG00000251246
chr1,155051313,155060014,ENSG00000143590.14_7,EFNA3
chr1,155092966,155093074,ENSG00000202027,Y_RNA
chr1,155100352,155107375,ENSG00000169242.12_6,EFNA1
chr1,155107820,155111333,ENSG00000169241.19_7,SLC50A1
chr1,155112367,155113071,ENSG00000179085.8_6,DPM3
chr1,155115747,155115808,ENSG00000251780,RNU7-150P
chr1,155121020,155121289,ENSG00000223452.3_5,HMGN2P18
chr1,155141884,155145951,ENSG00000163463.13_7,KRTCAP2
chr1,155141885,155159748,ENSG00000273088.2_15,ENSG00000273088
chr1,155146263,155157447,ENSG00000163462.19_7,TRIM46
chr1,155158300,155162707,ENSG00000185499.17_14,MUC1
chr1,155164787,155175286,ENSG00000231064.9_13,THBS3-AS1
chr1,155164968,155165063,ENSG00000271748,MIR92B
chr1,155165379,155178842,ENSG00000169231.13_9,THBS3
chr1,155178486,155183615,ENSG00000173171.15_9,MTX1
chr1,155180942,155183610,ENSG00000236263.1_11,ENSG00000236263
chr1,155183612,155197365,ENSG00000160766.16_8,GBAP1
chr1,155200766,155204116,ENSG00000236675.1_5,MTX1P1
chr1,155204243,155214490,ENSG00000177628.16_8,GBA
chr1,155206540,155206628,ENSG00000216109,AL713999.1
chr1,155216996,155225274,ENSG00000160767.22_11,FAM189B
chr1,155225770,155232221,ENSG00000116521.11_7,SCAMP3
chr1,155232659,155248282,ENSG00000176444.19_11,CLK2
chr1,155247254,155259639,ENSG00000143630.10_6,HCN3
chr1,155259084,155271229,ENSG00000143627.19_12,PKLR
chr1,155278539,155290457,ENSG00000160752.15_8,FDPS
chr1,155286654,155293967,ENSG00000225855.7_10,RUSC1-AS1
chr1,155290685,155300905,ENSG00000160753.17_11,RUSC1
chr1,155305059,155532953,ENSG00000116539.14_13,ASH1L
chr1,155316141,155316236,ENSG00000207720,MIR555
chr1,155328503,155328609,ENSG00000207134,RNU6-106P
chr1,155365801,155366769,ENSG00000227773.1_9,ASH1L-IT1
chr1,160577896,160616834,ENSG00000117090.16_10,SLAMF1
chr1,160639938,160640769,ENSG00000235101.1_5,SETP9
chr1,160640568,160669551,ENSG00000228863.8_14,ENSG00000228863
chr1,160648536,160681621,ENSG00000117091.10_12,CD48
chr1,160667760,160668001,ENSG00000227239,AL121985.1
chr1,160708847,160724611,ENSG00000026751.17_11,SLAMF7
chr1,160745744,160746398,ENSG00000275801.1_9,ENSG00000275801
chr1,160746765,160749930,ENSG00000274562.1_9,ENSG00000274562
chr1,160765864,160798051,ENSG00000122224.18_10,LY9
chr1,160799950,160832677,ENSG00000122223.13_13,CD244
chr1,160817800,160818292,ENSG00000226003.2_8,PPIAP37
chr1,160846330,160854970,ENSG00000179914.5_7,ITLN1
chr1,160864770,160865866,ENSG00000213080.3_7,ENSG00000213080
chr1,160901529,160904170,ENSG00000232188.1_10,ENSG00000232188
chr1,160902255,160919712,ENSG00000198358.4_9,ENSG00000198358
chr1,160905327,160905916,ENSG00000233691.2_9,ENSG00000233691
chr1,160914815,160924599,ENSG00000158764.7_7,ITLN2
chr1,160965001,160991133,ENSG00000158769.18_8,F11R
chr1,160967747,161008752,ENSG00000270149.5_13,ENSG00000270149
chr1,161004624,161004796,ENSG00000232879.2_9,GLRX5P2
chr1,161007421,161008767,ENSG00000215845.11_12,TSTD1
chr1,161009041,161015767,ENSG00000158773.14_9,USF1
chr1,161015817,161016645,ENSG00000289121.1_1,ENSG00000289121
chr1,161016736,161039760,ENSG00000186517.14_12,ARHGAP30
chr1,161035655,161035943,ENSG00000268154,AL591806.1
chr1,161040788,161059348,ENSG00000143217.9_8,NECTIN4
chr1,161054255,161057361,ENSG00000228917.1_8,NECTIN4-AS1
chr1,161068151,161070136,ENSG00000162755.14_9,KLHDC9
chr1,161070346,161087845,ENSG00000143256.5_7,PFDN2
chr1,161087876,161095235,ENSG00000158793.14_12,NIT1
chr1,161090764,161102478,ENSG00000158796.17_11,DEDD
chr1,161228535,161255240,ENSG00000248485.2_6,PCP4L1
chr1,161274525,161279758,ENSG00000158887.19_16,MPZ
chr1,161284171,161332996,ENSG00000143252.16_6,SDHC
chr1,161334011,161334541,ENSG00000289106.2_2,ENSG00000289106
chr1,161334523,161337666,ENSG00000188931.4_6,CFAP126
chr1,161337812,161341754,ENSG00000288670.1_3,ENSG00000288670
chr1,161344552,161345130,ENSG00000273075,RP11-122G18.8
chr1,161348497,161349148,ENSG00000236484.2_5,RRM2P2
chr1,161359337,161359755,ENSG00000289141.2_2,ENSG00000289141
chr1,161369199,161392214,ENSG00000283696.1_8,ENSG00000283696
chr1,161369788,161371658,ENSG00000288093.1_5,ENSG00000288093
chr1,161371079,161371185,ENSG00000206921,RNU6-481P
chr1,161373199,161440313,ENSG00000283360.1_10,ENSG00000283360
chr1,161375858,161376872,ENSG00000215840.3_7,ENSG00000215840
chr1,161381387,161381592,ENSG00000277882.1_7,ENSG00000277882
chr1,161403234,161410786,ENSG00000283317.1_10,ENSG00000283317
chr1,161475220,161493803,ENSG00000143226.16_12,FCGR2A
chr1,161482966,161574889,ENSG00000273112.1_9,ENSG00000273112
chr1,161488495,161489358,ENSG00000289273.1_1,ENSG00000289273
chr1,161494330,161496684,ENSG00000173110.8_7,HSPA6
chr1,161506361,161507948,ENSG00000224203.2_8,RPS23P10
chr1,161511549,161520758,ENSG00000203747.13_13,FCGR3A
chr1,161514597,161601246,ENSG00000289768.1_1,ENSG00000289768
chr1,161526080,161526868,ENSG00000224515.1_10,ENSG00000224515
chr1,161551129,161575452,ENSG00000244682.8_10,FCGR2C
chr1,161576081,161578007,ENSG00000225217.1_7,HSPA7
chr1,161587782,161589375,ENSG00000231586.2_8,RPS23P9
chr1,161592986,161601753,ENSG00000162747.13_15,FCGR3B
chr1,161632933,161648444,ENSG00000072694.22_10,FCGR2B
chr1,161641768,161644614,ENSG00000234211.2_12,ENSG00000234211
chr1,161653485,161655042,ENSG00000213075.7_5,RPL31P11
chr1,161669296,161669397,ENSG00000199595,Y_RNA
chr1,161676762,161684142,ENSG00000132185.18_11,FCRLA
chr1,161691334,161697933,ENSG00000162746.15_6,FCRLB
chr1,161705598,161705889,ENSG00000241347,RN7SL466P
chr1,161719242,161736017,ENSG00000226889.4_13,ATF6-DT
chr1,161719548,161727028,ENSG00000081721.12_6,DUSP12
chr1,161228535,161255240,ENSG00000248485.2_6,PCP4L1
chr1,161274525,161279758,ENSG00000158887.19_16,MPZ
chr1,161284171,161332996,ENSG00000143252.16_6,SDHC
chr1,161334011,161334541,ENSG00000289106.2_2,ENSG00000289106
chr1,161334523,161337666,ENSG00000188931.4_6,CFAP126
chr1,161337812,161341754,ENSG00000288670.1_3,ENSG00000288670
chr1,161344552,161345130,ENSG00000273075,RP11-122G18.8
chr1,161348497,161349148,ENSG00000236484.2_5,RRM2P2
chr1,161359337,161359755,ENSG00000289141.2_2,ENSG00000289141
chr1,161369199,161392214,ENSG00000283696.1_8,ENSG00000283696
chr1,161369788,161371658,ENSG00000288093.1_5,ENSG00000288093
chr1,161371079,161371185,ENSG00000206921,RNU6-481P
chr1,161373199,161440313,ENSG00000283360.1_10,ENSG00000283360
chr1,161375858,161376872,ENSG00000215840.3_7,ENSG00000215840
chr1,161381387,161381592,ENSG00000277882.1_7,ENSG00000277882
chr1,161403234,161410786,ENSG00000283317.1_10,ENSG00000283317
chr1,161475220,161493803,ENSG00000143226.16_12,FCGR2A
chr1,161482966,161574889,ENSG00000273112.1_9,ENSG00000273112
chr1,161488495,161489358,ENSG00000289273.1_1,ENSG00000289273
chr1,161494330,161496684,ENSG00000173110.8_7,HSPA6
chr1,161506361,161507948,ENSG00000224203.2_8,RPS23P10
chr1,161511549,161520758,ENSG00000203747.13_13,FCGR3A
chr1,161514597,161601246,ENSG00000289768.1_1,ENSG00000289768
chr1,161526080,161526868,ENSG00000224515.1_10,ENSG00000224515
chr1,161551129,161575452,ENSG00000244682.8_10,FCGR2C
chr1,161576081,161578007,ENSG00000225217.1_7,HSPA7
chr1,161587782,161589375,ENSG00000231586.2_8,RPS23P9
chr1,161592986,161601753,ENSG00000162747.13_15,FCGR3B
chr1,161632933,161648444,ENSG00000072694.22_10,FCGR2B
chr1,161641768,161644614,ENSG00000234211.2_12,ENSG00000234211
chr1,161653485,161655042,ENSG00000213075.7_5,RPL31P11
chr1,161669296,161669397,ENSG00000199595,Y_RNA
chr1,161676762,161684142,ENSG00000132185.18_11,FCRLA
chr1,161691334,161697933,ENSG00000162746.15_6,FCRLB
chr1,161705598,161705889,ENSG00000241347,RN7SL466P
chr1,161719242,161736017,ENSG00000226889.4_13,ATF6-DT
chr1,161719548,161727028,ENSG00000081721.12_6,DUSP12
chr1,200593024,200639035,ENSG00000118197.14_12,DDX59
chr1,200638635,200663378,ENSG00000260088.1_8,DDX59-AS1
chr1,200708021,200829832,ENSG00000118200.15_13,CAMSAP2
chr1,200832936,200833280,ENSG00000231333.2_7,RPL34P6
chr1,200842109,200843306,ENSG00000170128.5_7,GPR25
chr1,200860176,200884870,ENSG00000163362.11_17,INAVA
chr1,200886588,200935796,ENSG00000233217.2_6,MROH3P
chr1,200902473,200902575,ENSG00000201032,RNU6-704P
chr1,200938518,200992842,ENSG00000116852.15_12,KIF21B
chr1,200993077,200997920,ENSG00000229191.1_8,ENSG00000229191
chr1,201000264,201012201,ENSG00000234132.2_10,ENSG00000234132
chr1,201008640,201081579,ENSG00000081248.12_11,CACNA1S
chr1,201083071,201096312,ENSG00000232237.5_7,ASCL5
chr1,201103900,201140702,ENSG00000116857.17_12,TMEM9
chr1,206680864,206762780,ENSG00000266094.8_10,RASSF5
chr1,206702248,206703039,ENSG00000234981.1_8,RPL7AP20
chr1,206715087,206718221,ENSG00000279946.1_8,ENSG00000279946
chr1,206744620,206785818,ENSG00000143486.16_12,EIF2D
chr1,206807529,206809059,ENSG00000237605.3_11,DYRK3-AS1
chr1,206808881,206857764,ENSG00000143479.18_8,DYRK3
chr1,206855308,206855380,ENSG00000252853,SNORD112
chr1,206858250,206907626,ENSG00000162889.11_7,MAPKAPK2
chr1,206869182,206869614,ENSG00000224114.1_10,ENSG00000224114
chr1,206921325,206921437,ENSG00000199349,Y_RNA
chr1,206940947,206947886,ENSG00000136634.7_12,IL10
chr1,206944109,207016326,ENSG00000142224.18_10,IL19
chr1,207038968,207042568,ENSG00000162891.11_4,IL20
chr1,207070788,207077484,ENSG00000162892.16_11,IL24
chr1,207076662,207096592,ENSG00000162894.12_13,FCMR
chr1,207079273,207079738,ENSG00000271680.1_7,ENSG00000271680
chr1,207080964,207081574,ENSG00000226945.1_7,ENSG00000226945
chr1,207101867,207119811,ENSG00000162896.6_7,PIGR
chr1,207131310,207143970,ENSG00000162897.16_14,FCAMR
chr1,207191867,207206101,ENSG00000182795.13_7,C1orf116
chr1,206680864,206762780,ENSG00000266094.8_10,RASSF5
chr1,206715087,206718221,ENSG00000279946.1_8,ENSG00000279946
chr1,206744620,206785818,ENSG00000143486.16_12,EIF2D
chr1,206807529,206809059,ENSG00000237605.3_11,DYRK3-AS1
chr1,206808881,206857764,ENSG00000143479.18_8,DYRK3
chr1,206855308,206855380,ENSG00000252853,SNORD112
chr1,206858250,206907626,ENSG00000162889.11_7,MAPKAPK2
chr1,206869182,206869614,ENSG00000224114.1_10,ENSG00000224114
chr1,206921325,206921437,ENSG00000199349,Y_RNA
chr1,206940947,206947886,ENSG00000136634.7_12,IL10
chr1,206944109,207016326,ENSG00000142224.18_10,IL19
chr1,207038968,207042568,ENSG00000162891.11_4,IL20
chr1,207070788,207077484,ENSG00000162892.16_11,IL24
chr1,207076662,207096592,ENSG00000162894.12_13,FCMR
chr1,207079273,207079738,ENSG00000271680.1_7,ENSG00000271680
chr1,207080964,207081574,ENSG00000226945.1_7,ENSG00000226945
chr1,207101867,207119811,ENSG00000162896.6_7,PIGR
chr1,207131310,207143970,ENSG00000162897.16_14,FCAMR
chr1,207191867,207206101,ENSG00000182795.13_7,C1orf116
chr1,207207711,207254369,ENSG00000123836.15_13,PFKFB2
chr10,6186897,6296607,ENSG00000170525.21_12,PFKFB3
chr10,6287694,6287794,ENSG00000238366,Y_RNA
chr10,6313132,6395789,ENSG00000215244.4_11,LINC02649
chr10,6335063,6336647,ENSG00000226705.1_7,SDCBPP1
chr10,6392278,6394724,ENSG00000212743.2_8,LINC02656
chr10,6424306,6425045,ENSG00000289934.1_1,ENSG00000289934
chr10,6469105,6622263,ENSG00000065675.16_8,PRKCQ
chr10,6534444,6535333,ENSG00000288915.1_1,ENSG00000288915
chr10,6622381,6658883,ENSG00000237943.8_11,PRKCQ-AS1
chr10,6660678,6667308,ENSG00000225948.2_10,LINC02648
chr10,6724475,6865751,ENSG00000285743.1_5,ENSG00000285743
chr10,6751492,6782494,ENSG00000223784.2_8,LINP1
chr10,6775201,6777757,ENSG00000289892.1_1,ENSG00000289892
chr10,64099312,64134925,ENSG00000288011.1_5,ENSG00000288011
chr10,64109768,64110048,ENSG00000240940,RN7SL591P
chr10,64133951,64240047,ENSG00000138311.18_8,ZNF365
chr10,64133951,64431771,ENSG00000285837.1_6,ENSG00000285837
chr10,64280207,64431771,ENSG00000285551.2_7,LINC02929
chr10,64417945,64418012,ENSG00000263920,AC067751.1
chr10,64442412,64565647,ENSG00000238280.2_11,ENSG00000238280
chr10,64500968,64501145,ENSG00000234489.1_5,ALDH7A1P4
chr10,64564480,64568239,ENSG00000181915.5_6,ADO
chr10,64571756,64578927,ENSG00000122877.18_14,EGR2
chr10,64574193,64679667,ENSG00000289487.1_1,ENSG00000289487
chr10,64099312,64134925,ENSG00000288011.1_5,ENSG00000288011
chr10,64133951,64240047,ENSG00000138311.18_8,ZNF365
chr10,64133951,64431771,ENSG00000285837.1_6,ENSG00000285837
chr10,64280207,64431771,ENSG00000285551.2_7,LINC02929
chr10,64417945,64418012,ENSG00000263920,AC067751.1
chr10,64442412,64565647,ENSG00000238280.2_11,ENSG00000238280
chr10,64500968,64501145,ENSG00000234489.1_5,ALDH7A1P4
chr10,64564480,64568239,ENSG00000181915.5_6,ADO
chr10,64571756,64578927,ENSG00000122877.18_14,EGR2
chr10,64574193,64679667,ENSG00000289487.1_1,ENSG00000289487
chr10,80703085,80827652,ENSG00000224596.9_13,ZMIZ1-AS1
chr10,80828723,81076276,ENSG00000108175.19_8,ZMIZ1
chr10,81107225,81115090,ENSG00000108179.14_6,PPIF
chr10,81142081,81205380,ENSG00000165424.7_7,ZCCHC24
chr10,81142084,81169030,ENSG00000235426.2_10,ENSG00000235426
chr10,81259422,81259740,ENSG00000259021.2_5,TPRX1P1
chr10,81263829,81266037,ENSG00000241317.1_10,ENSG00000241317
chr10,81267353,81270738,ENSG00000235705.6_10,ENSG00000235705
chr10,81272289,81276196,ENSG00000253626.4_7,EIF5AL1
chr10,81286264,81286387,ENSG00000271985.1_8,ENSG00000271985
chr10,90466006,90512533,ENSG00000204021.5_7,LIPK
chr10,90519739,90539383,ENSG00000204020.6_5,LIPN
chr10,90545357,90546818,ENSG00000235150.1_5,RCBTB2P1
chr10,90562487,90580303,ENSG00000173239.14_6,LIPM
chr10,90579653,90611601,ENSG00000152766.6_7,ANKRD22
chr10,90636207,90637301,ENSG00000234256.2_7,PTCD2P2
chr10,90639491,90734910,ENSG00000138134.12_7,STAMBPL1
chr10,90692147,90700577,ENSG00000180139.11_16,ACTA2-AS1
chr10,90694831,90751096,ENSG00000107796.13_10,ACTA2
chr10,90749802,90754006,ENSG00000286116.1_5,ENSG00000286116
chr10,90750414,90775542,ENSG00000026103,FAS
chr10,90820788,90820888,ENSG00000238991,snoU13
chr10,90823092,90823168,ENSG00000265375,MIR4679-2
chr10,90898801,90899215,ENSG00000233292.1_7,ENSG00000233292
chr10,90965386,90967074,ENSG00000138135.7_6,CH25H
chr10,90973326,91174314,ENSG00000107798.18_8,LIPA
chr10,101089113,101154087,ENSG00000119946.12_7,CNNM1
chr10,101156627,101190381,ENSG00000120053.12_8,GOT1
chr10,101190672,101223016,ENSG00000224934.6_12,GOT1-DT
chr10,101286107,101290934,ENSG00000257582.5_8,LINC01475
chr10,101286705,101288224,ENSG00000228778.2_11,ENSG00000228778
chr10,101292699,101296281,ENSG00000119919.12_8,NKX2-3
chr10,101361537,101361637,ENSG00000238588,snoU13
chr10,101370276,101382550,ENSG00000155287.12_11,SLC25A28
chr10,101380614,101381688,ENSG00000260475.2_9,SLC25A28-DT
chr10,101411352,101419041,ENSG00000229278.4_12,ENSG00000229278
chr10,101411352,101491869,ENSG00000285932.1_7,ENSG00000285932
chr10,101419266,101470998,ENSG00000198018.7_9,ENTPD7
chr10,101457164,101457706,ENSG00000233690.1_5,EBAG9P1
chr10,101462315,101515891,ENSG00000119929.13_7,CUTC
chr10,101470625,101491884,ENSG00000014919.13_7,COX15
chr10,101089113,101154087,ENSG00000119946.12_7,CNNM1
chr10,101156627,101190381,ENSG00000120053.12_8,GOT1
chr10,101190672,101223016,ENSG00000224934.6_12,GOT1-DT
chr10,101286107,101290934,ENSG00000257582.5_8,LINC01475
chr10,101286705,101288224,ENSG00000228778.2_11,ENSG00000228778
chr10,101292699,101296281,ENSG00000119919.12_8,NKX2-3
chr10,101361537,101361637,ENSG00000238588,snoU13
chr10,101370276,101382550,ENSG00000155287.12_11,SLC25A28
chr10,101380614,101381688,ENSG00000260475.2_9,SLC25A28-DT
chr10,101411352,101419041,ENSG00000229278.4_12,ENSG00000229278
chr10,101411352,101491869,ENSG00000285932.1_7,ENSG00000285932
chr10,101419266,101470998,ENSG00000198018.7_9,ENTPD7
chr10,101457164,101457706,ENSG00000233690.1_5,EBAG9P1
chr10,101462315,101515891,ENSG00000119929.13_7,CUTC
chr10,101470625,101491884,ENSG00000014919.13_7,COX15
chr11,58034264,58035732,ENSG00000172772.3_5,OR10W1
chr11,58059298,58060237,ENSG00000272900.1_5,OR10Q2P
chr11,58085109,58085847,ENSG00000255218.1_3,OR5BC1P
